id,name,username,date,reply_to,content,reply,retweet,like
نانانگسلمانJan1*Ahmadi,نانانگ سلمان,@kangNanang_SL,Jan 1,,"*Ahmadiyah Ajak Ketum PBNU Terpilih, Kolaborasi Membangun Peradaban Islam Rahmah Ke Seluruh Dunia*

https://ahmadiyah.id/siaran-pers/ahmadiyah-ajak-ketum-pbnu-terpilih-kolaborasi-membangun-peradaban-islam-rahmah-ke-seluruh-dunia…",,,
ImanMubarakAhmadDec312021Sumber ,Iman Mubarak Ahmad,@imanmubarak_a,"Dec 31, 2021",,"Sumber :
Khutbah Jum'at yang disampaikan oleh Hadhrat Mirza Masroor Ahmad a.t.b.a. (Khalifah / Imam Jamaah Muslim Ahmadiyah Internasional) di Masjid Mubarak, Islamabad (Tilford, Inggris) pada tanggal 31 Desember 2021",,,
ImanMubarakAhmadDec312021NASIHAT,Iman Mubarak Ahmad,@imanmubarak_a,"Dec 31, 2021",,"NASIHAT BERHARGA DALAM MENYAMBUT TAHUN BARU 2022

Hadhrat Mirza Masroor Ahmad a.t.b.a. (Khalifah / Imam Jamaah Muslim Ahmadiyah Internasional) :

""Sambutlah Tahun Baru dengan banyak berdo'a dan dirikanlah Sholat Tahajjud, baik itu secara munfarid atau pun secara berjamaah.""",1,,
AhmadJunaidiDec312021Juga Pa,Ahmad Junaidi,@Alex_Junaidi,"Dec 31, 2021",@mkusumawijaya,"Juga Papua, Ahmadiyah di NTB, Syiah di Sidoarjo…",,,
"ShieMeLeeKhetheDec312021syiah
a",Shie Me Lee Khethe,@KeplakN,"Dec 31, 2021",@filosofiksi,"syiah
ahmadiyah
penyusup-nyamar",,1,
TeerasilDondanDec312021Ahmadiy,Teerasil Dondan,@ahmadHamdan_69,"Dec 31, 2021",@RifqiBest,Ahmadiyah dong,1,,
billtemporoDec312021GAFATAR,bill temporo,@BillTemporo,"Dec 31, 2021",,GAFATAR=Gerakan Fajar Nusantara=AHMADIYAH=KAFIR,,,
𝐌𝐛𝐚𝐤𝐒𝐫𝐢◕‿◕Dec312021Ini yah,𝐌𝐛𝐚𝐤 𝐒𝐫𝐢 ◕‿◕,@_MbakSri_,"Dec 31, 2021",@sutrisnoam,"Ini yah... ?

""Tahun 2010 Habib Bahar pernah pimpin penyerangan jemaat Ahmadiyah di Kebayoran Lama, Jaksel,"" kata Kapolres Jakarta Selatan Kombes Pol Imam Sugianto di kantornya, Jl Wijaya I, Jaksel, Minggu (29/7/2012).""",1,2,2
LeeloRARDec312021Check s,LeeloRAR,@DJ_Luvly,"Dec 31, 2021",@Fr4nst,"Check saja tweets 
@Ayang_Utriza
 yg beda aqidah saja bisa menjadi kawan dekat buat mereka : ahmadiyah, syiah, kafir harbi dll

Terhadap muslim yg mereka anggap beda, nyinyirnya & bencinya minta ampun.",3,,
RosegoldbeautyshopDec312021Sales e,Rosegold beautyshop,@Rosegoldbeauty6,"Dec 31, 2021",,"Sales ends today at 7pm, we will be going on break after 7pm.
Need a reservation kindly Dm or whatsap 0240566966 @ Ahmadiyah Gate(old Ashongman, Agbogba) https://instagram.com/p/CYJAWJjM29e/?utm_medium=twitter…",,,1
MoAbdillahHaddadDec312021Contoh ,Mo Abdillah Haddad,@syedmo77,"Dec 31, 2021",@Bobby77H,"Contoh kasus pembantaian Syiah Sampang, Ahmadiyah Cikeusik dll sebenarnya yang bermain sudah jelas orang2nya, SBY dkk melakukan pembiaran dan sengaja memelihara kelompok intoleran itu (plus ada campur tangan pihak asing juga).",1,,1
MoAbdillahHaddadDec312021benar s,Mo Abdillah Haddad,@syedmo77,"Dec 31, 2021",@Bobby77H,"benar sekali, ini kelompok dmn pun berada selalu akan membuat masalah, bahkan mrk menghalalkan darah org muslim (yg tdk sejalan dengan mereka) dan juga dengan non muslim. Anda pernah dengar kasus pembantaian muslim Ahmadiyah dan Syiah Sampang?, mereka lah otak dna pendana nya.",,,
ApinDec312021bukanny,Apin,@myalpiano,"Dec 31, 2021",@sidneyJKT48,bukannya ahmadiyah?,,,
choirudinDec312021lu tahu,choirudin,@sayamaschoi,"Dec 31, 2021",@shittmask,lu tahun baruan ngikut ahmadiyah ya?,1,,
FerDec312021@ahmadi,Fer,@Fer48155507,"Dec 31, 2021",@TerkehhBsc,"@ahmadiyah
 
@Fer48155507
 
@kholiq",,,
