id,name,username,date,reply_to,content,reply,retweet,like
DedenSujanaFeb12021Simak b,Deden Sujana,@dedensujana,"Feb 1, 2021",,"Simak bagaimana sikap Khilafah Ahmadiyah terhadap Pancasila dan Demokrasi dalam link di bawah ini :
@Iskandargumay1",,1,2
MuridIslamAhmadiyahFeb12021nah say,MuridIslamAhmadiyah,@MAhmadiyah,"Feb 1, 2021",@akbarnugrohoa,"nah saya ulang ya. silahkan temukan pernyataan dari Ahmadiyah langsung, bahwa nabi terakhir/penutup adala Ghulam Ahmad. ",1,,
risrisismanFeb12021Sebenar,risris isman,@risrisus,"Feb 1, 2021",@susipudjiastuti,"Sebenarnya mengomentari 
@permadiaktivis1
 lebih politis dari pada bicara HAM, mana berani para politikus menaggapi apalagi bersuara lantang tentang kasus ahmadiyah, perusakan rumah ibadah. Wajar saja, krn politikus lebih mewakili kepentingannya dari pada idealismenya.",,,1
MuridIslamAhmadiyahJan312021adakah ,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 31, 2021",@akbarnugrohoa,adakah pernyataan dari Ahmadiyah bahwa nabi penutup adalah Bukan Muhammad melainkan Mirza Ghulam Ahmad? silahkan tunjukan disini,,,
MuridIslamAhmadiyahJan312021itu vid,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 31, 2021",@akbarnugrohoa,"itu video udh video udh menjelaskan penafsiran ahmadiyah soal Al-Azhab : 40 , malah dibilang ga bisa jelasin ok kalau ada pertanyaan soal kenabian lagi bisa pm aja ya",1,,
FuadAhmadNasirJan312021Pengaji,Fuad Ahmad Nasir,@fuadahmad88,"Jan 31, 2021",,"Pengajian Mingguan Online

Tajuk: Tahrik Waqf-e-Nau

Dibawakan oleh: 
Department Tarbiyat Nasional
Jamaat Ahmadiyah Mulsim Malaysia",,,
BUKANPENGENDALIAIRJan312021Widih r,BUKAN PENGENDALI AIR,@aang1928,"Jan 31, 2021",@faith_khalaf,"Widih rizik rasis k cina syiah dan ahmadiyah apa mau lo hantam pake palu jg?
Kadrun model lo yg rasis k cina syiah dan ahmadiyah apa mau hantam kepala lo sendiri drun? Etapi kepala kadrun mah kopong gak ada isinya. ",1,,
dontcryJan312021banyak ,dont cry,@_mediocry,"Jan 31, 2021",,"banyak juga yaa. ini kalo di islam semacam nu, muhammadiyah, ahbandiyah, ahmadiyah, ldii dsb gitu gak sih?",,,
lentera°Jan312021saya me,lentera°,@halo___lentera,"Jan 31, 2021",@MAhmadiyah,"saya menolak paham ahmadiyah berdasarkan ilmu, bukan hawa nafsu",,,1
RobbySatyaAndhikaJan312021Kalau A,Robby Satya Andhika,@robbysa,"Jan 31, 2021",,Kalau Ahmadiyah dan Syiah bagaimana?,,,
ImanMubarakAhmadJan312021Kunjung,Iman Mubarak Ahmad,@imanmubarak_a,"Jan 31, 2021",,"Kunjungan Intel Kodim 0703 ke Rumah Mubaligh Ahmadiyah Cilacap

https://ayahakbar.id/2021/01/31/kunjungan-intel-kodim-0703-ke-rumah-mubaligh-ahmadiyah-cilacap/…",,,
MuridIslamAhmadiyahJan312021solat i,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 31, 2021",@halo___lentera,"solat istikharah adalah solat untuk meminta petunjuk kepada Allah mana yang terbaik. banyak yg masuk Islam Ahmadiyah karena solat istikharah, artinya Islam Ahmadiyah memang yang terbaik di mata Allah. anda menolak ahmadiyah karena petunjuk Allah? atau hawa nafsu? belum dijawab",1,,
lentera°Jan312021kalo ah,lentera°,@halo___lentera,"Jan 31, 2021",@halo___lentera,"kalo ahmadiyah benar harusnya saya org pertama yg masuk ahmadiyah, kenyataannya saya menolak paham ahmadiyah",1,,
lentera°Jan312021kalo an,lentera°,@halo___lentera,"Jan 31, 2021",@MAhmadiyah,"kalo anda cuma ngaku, orang gila di pinggir jalan juga bisa, masalahnya itu metodologinya, dari mana anda tau kalo ahmadiyah itu benar? udah lulus pengujian?",1,,
MuridIslamAhmadiyahJan312021solat i,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 31, 2021",@halo___lentera,"solat istikharah adalah solat untuk meminta petunjuk kepada Allah mana yang terbaik. banyak yg masuk Islam Ahmadiyah karena solat istikharah, artinya Islam Ahmadiyah memang yang terbaik di mata Allah. Lalu anda menolak ahmadiyah karena petunjuk Allah? atau hawa nafsu?",1,,
JUMPAJan312021Mirza g,JUMPA,@rahmasaktia,"Jan 31, 2021",,"Mirza ghulam ahmad,seorang tokoh robbaniawan islam dari Qadian ,India. Dia adalah pendiri sebuah gerakan keagamaan dalam islam,Ahmadiyah. Dia mengaku telah dipilih Allah Ta'ala sebagai Al-Mahdi dn juga Al-Masih atau atau Mesias yg dijanjikan.serta sebagai Mujadid islam abad k-14",,,1
PranawijayaKusumaJan312021Klw beg,Pranawijaya Kusuma,@PranawijayaK,"Jan 31, 2021",@kaltim_island,Klw begitu Ahmadiyah Islam donk?,1,,
lentera°Jan312021istikha,lentera°,@halo___lentera,"Jan 31, 2021",@MAhmadiyah,"istikharah istikharah, istikharah kok ngikut ahmadiyah ",1,,
@malekfirdausJan312021You nee,@malekfirdaus,@malek_firdaus1,"Jan 31, 2021",@ImranKhanPTI,You need to be dictator against ahmadiyah mafia gengster. How to tackle them. Like mahathir mohamed want to jail the radical movement. Btw Ahmadiyah has been forbidden in islam. You need to be Hitler try to attack against your duty. Hope Allah safe you aamiin.,,,
IamABatmanJan312021Yang Cu,I am A Batman,@GibraltarNc,"Jan 31, 2021",@Ch1ch1ny4_0shin,Yang Cucunya  pendakwah Ahmadiyah itu ya teh ,1,,7
MuridIslamAhmadiyahJan312021memang ,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 31, 2021",@halo___lentera,"memang sudah lurus menurut Allah, kan orang2 Ahmadiyah melakukan shalawat, istighfar dan solat istikharah sebelum berbaiat ke Mirza Ghulam Ahmad ",1,,
NAUFAL_MAHARDIKAJan3120215. Mend,NAUFAL_MAHARDIKA,@RAFIDA750,"Jan 31, 2021",@RAFIDA750,"5. Mendukung Ahmadiyah, syiah, Ghafatar dll dengan alasan sama2 anak bangsa, tapi sangat membenci HTI, FPI dan ormas2 yang cenderung mengambil jalan ""Kanan"".

Semoga Allah memberikan hidayah dan menunjukkan jalan lurus sesuai ajaran Islam yang sebenarnya...",,,
MuridIslamAhmadiyahJan312021salah s,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 31, 2021",,"salah satu sumbangan dari anggota digunakan untuk menterjemah Al Quran ke 100 bahasa, seperti di new zealand, dmn Al Quran pertama dengan terjemahan bahasa asli new zealand adalah terjemahan islam ahmadiyah . semua karena Allah Ta’ala ",2,,
MuridIslamAhmadiyahJan312021oh tahu,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 31, 2021",@lentera7777,"oh tahukah sumbangan anggota ahmadiyah untuk apa? untuk membangun mesjid, menerjemahkan Al Quran, mengirim para mubaligh ke pelosok, dll demi menyebarkan Islam di seluruh dunia ",1,,
DailymateRadioJan312021Khalifa,Dailymate Radio,@dailymateradio,"Jan 31, 2021",,Khalifah Ahmadiyah: Kesetiaan Kepada Negara Dan Cinta Tanah Air https://kompasiana.com/kangnanang23/6015ef8f8ede482c9e37c4b3/khalifah-ahmadiyah-kesetiaan-kepada-negara-dan-cinta-tanah-air… #ruangkelas dan kita masih banyak punya berita menarik lainnya di situs https://dailymate.net,,,
JangetKinatelonJan312021Masalah,Janget Kinatelon,@kuntorosuwung,"Jan 31, 2021",@poweranger008,"Masalah di Indonesia berakar dr penganiayaan pd kelompok minoritas. Makanya dl Gus Dur memasukkan Konghucu sbg agama.   Nasib Syi'ah, Ahmadiyah, Kejawen, Sunda Wiwitan, Kaharingan dll blm jelas. Masih mengalami diskriminasi yg hebat.",1,,
ehrJan312021Manusia,ehr,@Behrouz45,"Jan 31, 2021",@geloraco,"Manusia jahanam..salafi dan wahabi aroganya dmna?,kcuali abu janda bilng yg arogan itu syi'ah dan ahmadiyah..mungkin msih bsa slmat dri protes umat islam..",1,,2
billtemporoJan312021GAFATAR,bill temporo,@BillTemporo,"Jan 31, 2021",,GAFATAR=Gerakan Fajar Nusantara=AHMADIYAH=KAFIR,,,
ZIDWORLDJan302021Bagi pe,ZID WORLD,@ZamaneWorld,"Jan 30, 2021",,"Bagi penganut Ahmadiyah, Yesus (Nabi Isa) setelah disalib tidak wafat, tiga hari kemudian bangkit dan bertemu dengan murid-muridnya. Yesus kemudian pergi ke Srinagar, Kashmir, dan mengembangkan ajarannya di sana hingga wafat pada usia 125 tahun

http://zamane.id/ragam/2190-bagi-penganut-ahmadiyah-yesus-tidak-wafat-setelah-disalib-tapi-pergi-ke-kashmir#.YBWCzyIj_Sw.twitter…",1,6,9
~•d`J∆K∆•~Jan302021Mulai d,~ • d` J∆K∆ • ~,@Anonymouslem_A1,"Jan 30, 2021",@Lucille66991,"Mulai dari Syiah, Ahmadiyah sampai Wahyudi dan Blacky Bruno ",,,
MuridIslamAhmadiyahJan302021selain ,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 30, 2021",@halo___lentera,"selain itu juga, anggota islam ahmadiyah Di masa yang akan datang  akan selalu senantiasa menjauhi syirik, dalam artinya segala aktivitas harus berdasarkan Allah Ta’ala dan hanya untuk merain ridhoNya",1,,
MuridIslamAhmadiyahJan302021selain ,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 30, 2021",@halo___lentera,"selain itu juga, orang2 masuk ahmadiyah karena memang ingin meningkatkan ketakwaannya, salah satunya adalah dengan membiasakan anggota untuk bertahajud..",1,,
lentera°Jan302021penafsi,lentera°,@halo___lentera,"Jan 30, 2021",@MAhmadiyah,"penafsiran yg tdk bertg jwb, justru yg membuat sy tetap memeluk islam krn keotentikan penafsirannya yg terjaga, alhamdulillah islam bukan ahmadiyah, buat apa kita beragama kalo agama tdk memberikan kepastian?",1,,
Jan.Jan302021Siapa n,Jan.,@sjnuraisyah,"Jan 30, 2021",,"Siapa nama suami kakak ipar?

""Ahmadiyah""

Plisss, namanya Madya, dipanggil A Madya :(",,,
FicarJan302021Ada apa,Ficar,@ficar74,"Jan 30, 2021",@LisaAmartatara3,"Ada apa dg negara ini...HTI n FPI tdk diakui hak sbg warga negaranya...sementara komunis, syiah, ahmadiyah, atheis, lgbt, koruptor dibela n di lindungi keberadaannya krn mereka pro kekuasaan rezim setan merah..",,,
SaidimanAhmadJan302021Jangan ,Saidiman Ahmad,@saidiman,"Jan 30, 2021",,"Jangan kelamaan sowan-sowannya, Pak. Langsung ambil tindakan buka segel rumah-rumah ibadah kelompok minoritas. Kembalikan pengungsi Gafatar dan Ahmadiyah ke rumahnya dengan aman. Jaga komunitas Kristen di Aceh Singkil. Lindungi kelompok minoritas seksual dari persekusi.",5,17,50
PakaiMaskerJan302021Jenis 2,Pakai Masker,@fghar135,"Jan 30, 2021",@_ekokuntadhi,"Jenis 2 Islam :
Islam syiah
Islam sunni
Islam ahmadiyah
Islam radikal
Islam moderat
Islam salafi wahabi
Islam kafah
Islam khilafah
Islam abangan
Islam ldii
Islam nusantara dll
Belum lagi 72 golongan firqoh islam 

Islam yg mana yg arogan ",,,
ArSyamsuddinJan302021Raffi a,Ar Syamsuddin,@ar_syam21,"Jan 30, 2021",,"Raffi ahmad, Ahmadiyah dan Ketidak Dispilinan “Duta Vaksin” Raffi ahmad, Ahmadiyah dan Ketidak Dispilinan “Duta Vaksin”Bismillaahir Rahmaanir Rahiim Oleh: Abdullah Abubakar Batarfie http://Hidayatullah.com | RAFFI Ahmad namanya belakangan ini... https://tmblr.co/ZfoWBXZdtcM_qu00…",,,
ArSyamsuddinJan302021Raffi a,Ar Syamsuddin,@ar_syam21,"Jan 30, 2021",,"Raffi ahmad, Ahmadiyah dan Ketidak Dispilinan “Duta Vaksin”",,,
MuridIslamAhmadiyahJan302021https:/,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 30, 2021",,"https://reviewofreligions.org/3036/commentary-on-a-verse-of-the-holy-quran-the-dwellers-of-the-cave/… kalau anda tertarik, bagaimana penafsiran Ahmadiyah ttg Ashabul Kahfi yg lebih masuk akal..",1,,
MuridIslamAhmadiyahJan302021penafsi,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 30, 2021",@lentera7777,"penafsiran ayat Ashabul Kahfi menurut Ahmadiyah bukan seperti yang diceritkan pada umumnya, yakni ada 7 orang yg tidur selama 3 abad. yg jelas, ajaran Islam Ahmadiyah lah yang akan membawa Islam berjaya dengan dukungan dari ilmu pengetahuan yg terus berkembang",1,,
RakyatbaruJan302021Cabang ,Rakyat baru,@SimamoraUba,"Jan 30, 2021",@OposisiCerdas,"Cabang syiah, cabang ahmadiyah, cabang lia eden ada gak ya ??",,,
MuridIslamAhmadiyahJan302021inilah ,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 30, 2021",@halo___lentera,"inilah cara ahmadiyah mengajak orang2 masuk islam, yakni menunjukan bahwa islam adalah satu2 nya agama yg tdk bertentangan dengan ilmu pengetahuan  ..",1,,
JayaS.Jan302021Tapi me,Jaya S.,@JayaMahardhika,"Jan 30, 2021",@JayaMahardhika,"Tapi menurut aku, kalau memang penting bagi jalan cerita, adalah hak penulis mau membuat apapun kepercayaan tokoh-tokohnya: Atheis, Syiah, Ahmadiyah, Aliran Lia Eden....

Masalah dirundung atau di-report itu sudah resiko hidup di negara +62....",,,
MuridIslamAhmadiyahJan302021kalau a,MuridIslamAhmadiyah,@MAhmadiyah,"Jan 30, 2021",@Oralali_yo,"kalau ahmadiyah sih sama dimana2, tapi saya kurang tau  ya kalau soal syiah,",,,
JendralamanJan302021Pemikir,Jendralaman,@jen010373,"Jan 30, 2021",,"Pemikiran yg baik pak Menteri, monggo di lanjut keun. Tolong SKB 2 menteri yang membuat rumah ibadah Kristen dan Ahmadiyah ditutup, juga tolong dicabut pak Menteri, agar ke Bhineka an di Bumi Indonesia indah, semoga bapak slalu di ridho i Allah SWT. Amin",,,
JangetKinatelonJan302021Yang ng,Janget Kinatelon,@kuntorosuwung,"Jan 30, 2021",@demokrasicoid,Yang ngobok obok negara itu orang yang omongannya membuat Syiah dan Ahmadiyah yang merupakan WNI sah NKRI dianiaya dan didiskriminasi luar biasa.,,,4
HartonoDjayaJan302021Harusny,Hartono Djaya,@HartonoDjaya,"Jan 30, 2021",@FerdinandHaean3,"Harusnya mereka yg membawa ""islam"" menunjukan gerbongnya...
-NU
-MU
-ahmadiyah
-wahabi
-LDII
dan masih banyak lagi 
Semoga damai NKRI...",,,
DedenSujanaJan302021Lanjut ,Deden Sujana,@dedensujana,"Jan 30, 2021",@detikcom,Lanjut ke ormas2 kecil pak seperti Ahmadiyah dan Syiah,,,
AlamJan302021Ahmadiy,Alam,@Oralali_yo,"Jan 30, 2021",@MAhmadiyah,Ahmadiyah / Syiah yang di Indonesia apa sama dengan alirab Syiah di Iran ?,1,,
DedenSujanaJan302021Sejak k,Deden Sujana,@dedensujana,"Jan 30, 2021",@djadjatsud,"Sejak kapan Susi membela toleransi dan pluralisme ketika Minoritas, Ahmadiyah,Syiah, Sunda wiwitan dll di aniaya ?",,1,
DedenSujanaJan302021Kapan S,Deden Sujana,@dedensujana,"Jan 30, 2021",,"Kapan Susi membela Minoritas, Ahmadiyah, Syiah ketika dianiaya ? Tapi kalau 
@permadiaktivis1
 sudah terbukti sepak terjangnya membela #sayabersamapermadi",1,3,2
