id,name,username,date,reply_to,content,reply,retweet,like
JokoTusoFeb282021Klau sy,Joko Tuso,@jokosantok1234,"Feb 28, 2021",,"Klau syiah, ahmadiyah gmn??",1,,
FHidayatTegakkankeadilanFeb282021Gw nany,FHidayatTegakkan keadilan,@hidayatferi19,"Feb 28, 2021",@radixwp,"Gw nanya sama murid ahmadiyah ini.

MUI sdh mengakui belum Ahmadiyah sbg bagian islam ??

Smp skrg MUI belum mengakui.",,,
liberalisantiradikalismeFeb282021Pura2 n,liberalis anti radikalisme,@AsepIra44314224,"Feb 28, 2021",@panjitotti,"Pura2 nggak tau yah.. Islam Nusantara, Wahabi, salafi, Syiah, Ahmadiyah, apa nggak beda penafsiran pemahaman agamanya?",1,,
AzambinMuhammadFeb282021Ahmadiy,Azam bin Muhammad,@ahmzaky2202,"Feb 28, 2021",@ahmzaky2202,"Ahmadiyah lebih parah lagi
Tapi ...
Justru Syiah dan Ahmadiyah yg dirangkul",1,,1
AzambinMuhammadFeb282021Saya he,Azam bin Muhammad,@ahmzaky2202,"Feb 28, 2021",@HisyamMochtar,"Saya heran saja
Maaf kalau pendapat saya keliru
Ahmadiyah dan Syiah dirangkul oleh Ketum tsb seakan saudara seiman
Pdhl mereka sudah beda madzhab sudah keluar dr Islam dan ahlussunah
Sementara Wahabi ?
Sekeras pemikiran mereka tapi mereka masih memegang ahlussunah sesuai Nash",3,1,15
RavaniaAlyaFeb282021Syiah d,Ravania Alya,@AjieRoest,"Feb 28, 2021",@HisyamMochtar,"Syiah dilindungi
Ldii dilindungi
Ahmadiyah dilindungi

FPI di Bubarkan
HTI di Bubarkan
MUI target
Muhammadiyah target
PKS target",,,2
LadyDiFeb282021Klo kel,Lady Di,@DianaMasayu,"Feb 28, 2021",@geloraco,Klo kelompok Syiah dan Ahmadiyah elu diem yak..,,,2
RadixWPFeb282021Btw Ahm,Radix WP,@radixwp,"Feb 28, 2021",@hidayatferi19,"Btw Ahmadiyah, syiah dll ga pernah dilarang oleh negara lho. Ada perda di beberapa daerah, tapi ga diakui oleh negara. Perda anti-Ahmadiyah di Jatim malah ga dipedulikan pemkot Surabaya. Kaum Islam Ahmadiyah tetep leluasa.

Ahmadiyah punya badan hukum resmi dg no register lho.",1,,1
RadixWPFeb282021Bentrok,Radix WP,@radixwp,"Feb 28, 2021",@radixwp,"Bentrokan? Aksi bhinneka ga bawa senjata, ga nyerang duluan, kebanyakan ibu2. Tapi diserang FPI pake pentungan. FPI kesal krn aksi tsb nolak RUU APP serta bela kaum Islam Ahmadiyah (bagian integral bangsa Indonesia).

FPI juga nyerang tempat karaoke milik Inul yg nolak RUU APP.",2,,
PriyaiKenangaFeb282021Ahmadiy,Priyai Kenanga,@binAbdul1221,"Feb 28, 2021",@maspiyuaja,Ahmadiyah dan Syiah saja bisa legal apalagi yg beginian....,,,
