id,name,username,date,reply_to,content,reply,retweet,like
MuridIslamAhmadiyahMar312021kalau a,MuridIslamAhmadiyah,@MAhmadiyah,"Mar 31, 2021",@fuckyoubitcsyyy,"kalau ahmadiyah mengajarkan anggotanya untuk taat sempurna pada Rasulullah SAW, kalau ini agamanya apa om",,,
makroepoonMar312021sejauh ,makroepoon,@penjagadapur,"Mar 31, 2021",,"sejauh mana kemungkinannya ada gesekan antar ideologi radikal isis dgn ideologi radikal zionis, komunis, sepilis, syiah, ahmadiyah, islam jamaah, paham sesat lainnya di indonesia dlm aksi teror seperti yg saat ini terjadi?#pertemuankepentinganantarideologiradikaldiindonesia?",,,
"KabulRahmatullahMar312021No,ahma",Kabul Rahmatullah,@fuckyoubitcsyyy,"Mar 31, 2021",@MAhmadiyah,"No,ahmadiyah bukan bagian dari islam.",1,,
DenBagusMar312021Ahmadiy,Den Bagus,@DenBagusss78,"Mar 31, 2021",@DenBagusss78,Ahmadiyah dgn menjadi agama baru itu bagian dari jalan keluar konflik.,,,
DenBagusMar312021Makanya,Den Bagus,@DenBagusss78,"Mar 31, 2021",@MAhmadiyah,Makanya ulama dahulu itu punya guru yg banyak  hingga memahami kontex turunya ayat jadi paham maksud ayat tersebut terlepas ketika di turunkan ke murid menjadi banyak persepektive..bila anda Ahmadiyah dan di hukumi sesat terima saja.,2,,
Sa-Mar3120218. Mary,Sa-,@salxxxh,"Mar 31, 2021",,"8. Maryam : Okky Madasari
tentang orang Ahmadiyah di NTB yang terusir dari kampung dan rumahnya sendiri. Sedih si ini, recommended:)
9. The little prince: Antoine de Saint-Exupéry.
Ini dongeng bagus banget, ringan tapi filosofis. Gak heran ini jadi buku terbaik abad 20 di Prancis",,,
MuridIslamAhmadiyahMar312021mereka ,MuridIslamAhmadiyah,@MAhmadiyah,"Mar 31, 2021",@literasiislam,"mereka yg anda sebut, termasuk Ahmadiyah, itu  menyebarkan kedamaian di tengah umat manusia. kalau anda punya akal sehat, tentu kelompok yang memberikan kedamaian harus dirangkul..",,,
MuridIslamAhmadiyahMar312021ahmadiy,MuridIslamAhmadiyah,@MAhmadiyah,"Mar 31, 2021",@DenBagusss78,ahmadiyah damai di pakistan? mbahmu.. coba google “ahmadiyya presecution in pakistan”,,,
MuridIslamAhmadiyahMar312021berita ,MuridIslamAhmadiyah,@MAhmadiyah,"Mar 31, 2021",,"berita ttg pembagian vaksin di Mesjid Baitul Futuh diberitakan di INews, tapi ga disebut mesjid ini milik Ahmadiyah ",,,
MuridIslamAhmadiyahMar312021ahmadiy,MuridIslamAhmadiyah,@MAhmadiyah,"Mar 31, 2021",@fuckyoubitcsyyy,"ahmadiyah bukan agama, tapi sekte dalam Islam dan tidak didirikan Inggris..",1,,
