id,name,username,date,reply_to,content,reply,retweet,like
NazaHarySpock2031May302021@UNHuma,NazaHarySpock2031,@HaryNaza,"May 30, 2021",,"@UNHumanRights
 Pakistan to also having a seriously discrimination-racialism problems when the minority-peoples group like Mohajer-Ahmadiyah+Local-$yiah tobe suffer-conditions & Friend-Ally China to havebeen killing the alot Uigurs-Moeslem in Xinjiang-Province with mass genocide !",,,
AnNaijiriyyالنيجيريMay302021ليس بعد,AnNaijiriyy النيجيري,@OlaShile04,"May 30, 2021",@Shoms018,"ليس بعد الكفر الذنب
Which sin is worse than ""kufr""/disbelief.

First, let his family of AHMADIYAH accept Islaam first,  b4 he can be engaged in any deen discourse, before all his ""I did walimah"", ""my lineage are Imaam"", blah blah blah.

First,  let's invite his fam to Islaam.",,,1
ADEJOKEMay292021Ahmadiy,ADEJOKE,@naafezah,"May 29, 2021",,Ahmadiyah,,,
AriefSetiawan(8612fan)May292021Karena ,Arief Setiawan (8612fan),@8612fan,"May 29, 2021",@PartaiSocmed,"Karena fanatik agama, sampai2 kemanusiaan diabaikan begitu saja. Orang2 LGBT, Ahmadiyah, & Syiah kerap kali diganggu hak dasarnya. Intinya apa susahnya sih menolak ketiganya krn ajaran agama, bukan soal kesehatan, kedokteran, pseudoscience, & kemanusiaan",,,
LiaMay292021Demo pe,Lia,@profatitty,"May 29, 2021",@pradewitch,"Demo penista agama, persekusi jemaah ahmadiyah, ttd pelarangan pendirian tempat ibadah agama lain, dll",,,1
May292021btw nge,,@radowelt,"May 29, 2021",,btw ngebuzzer di israel ada orang islam arab sih biasa banget. tau ga di israel ada kota haifa pusatnya komunitas ahmadiyah & agama bahai? muslim majority countries can’t relate ,,,
RestuAjiMay292021Ahmadiy,Restu Aji,@RestuAj83110160,"May 29, 2021",@MAhmadiyah,Ahmadiyah itu bukan islam,,,
JoviAldinoMay292021Nggak u,Jovi Aldino,@aldino_jovi,"May 29, 2021",@TaufikDamas,"Nggak usah jauh2...
Dalam negeri sendiri, gimana kabarnya orang2 Syiah Madura dan orang orang Ahmadiyah Lombok yg terpaksa harus ngungsi karena tindakan anarkhis dari mayoritas...?
Apa karena pelaku anarkhisnya sealiran maka semuanya pada diem...",,,2
AphroditeCelestaminePruneMay292021kl yg b,Aphrodite Celestamine Prune,,"May 29, 2021",@PutraWadapi,"kl yg belum punya agama.silahkam eksplorasi apa mau islam, kristen, budha, hindu, syiah atau ahmadiyah atau apa terserah dan gak usah didominasi satu agama biarkan mrk milih mau mendalami agama mn apa maucoba semua atau lsg pilih yg mrk rasa paling sesuai sama hati dan jiwa mrk",,,
JAMALBUGISMay292021Kubanta,JAMAL BUGIS,@JamalBoegis,"May 29, 2021",@ReezMuhammad,"Kubantai saat itu krn dia tidak paham Ahmadiyah, dia hanya bela buta2. Saya sangat paham dapurnya Ahmadiyah.",1,,2
AphroditeCelestaminePruneMay292021intinya,Aphrodite Celestamine Prune,,"May 29, 2021",@PutraWadapi,"intinya org gak akan bersepakat di hal2 yy gak bener ,logika dan akal sehatnya demikian. org udah punya pilihan agama dipaksa pindsh ke kristen atau islam atau syiah atau ahmadiyah atau atheis ini ngaco semua. hormati pilihan agama msg2 org",,,
muchlisarofikMay292021Kalo Sa,muchlis a rofik,@muchlis_ar,"May 29, 2021",,"Kalo Saudi nyerang Houthi di Yaman, bukan agresi. Kalo Sunni ngabisin Syiah, ato ngabisin Ahmadiyah bukan apartheid. 

Yg agresor dan apartheid cuma Yahudi.

Begitu kaidah ushuliyahnya tad..",7,19,35
RoninOposisiMay292021Ahmadiy,RoninOposisi,@ronins08,"May 29, 2021",@fawzans15,Ahmadiyah?,,,
｀ω´May292021Ketik 1,｀ω´,@wooahaoe,"May 29, 2021",@icouldnotsleep,Ketik 1 untuk Ahmadiyah,,,
JAMALBUGISMay292021Saya pe,JAMAL BUGIS,@JamalBoegis,"May 29, 2021",@rahmaniarbaftim,Saya pernah twitwar sama dia thn 2011 tentang Ahmadiyah. Kalau dia terpojok pasti main block. Aku juga di block.,2,,2
yasMay292021GP Anso,yas,@yunantyo_yas,"May 29, 2021",,GP Ansor Jabar Instruksikan LBH Ansor Advokasi Penyegelan Masjid Ahmadiyah di Garut https://fixjakarta.com/berita/gp-ansor-jabar-instruksikan-lbh-ansor-advokasi-penyegelan-masjid-ahmadiyah-di-garut-2/hkv7JtNjxCD4oNm56VQaYD…,,,2
MattTamoeMay292021Klo jaw,Matt Tamoe,@LebakTomy,"May 29, 2021",@edy_siregar_77,"Klo jawab:
1.ISLAM, ga pake embel2, syiah-ahmadiyah bkn ISLAM
2.Tergantung, hukumnya mubah
3.Udah
4.Gamilih
5.Dukung
6.Beliau istiqomah
7.Tidak
8.Tidak
9.Tidak
10.Tidak
11.Tidak
12.Mati, dilempar dr gedung tinggi
13.Gatau, bkn follower
Lulus?",,1,
billtemporoMay292021GAFATAR,bill temporo,@BillTemporo,"May 29, 2021",,GAFATAR=Gerakan Fajar Nusantara=AHMADIYAH=KAFIR,,,
ahmadamriMay282021Loh skr,ahmad amri,@amri_hotaru,"May 28, 2021",@MAhmadiyah,"Loh skrg ngeles hahaha.
Mas bro. Ahmadiyah itu bkn rahasia lg fatwa mereka sesat bkn cuma MUI.
klo anda gak tahu maka seharusnya belajar & cari tahu.
Jelas sekali di kitab mereka bahwa Mirza Ghulam Ahmad adalah nabi, apa ini gak sesat??
Klo anda Ahmadiyah maka segeralah bertobat",,,
MuridIslamAhmadiyahMay282021maksudn,MuridIslamAhmadiyah,@MAhmadiyah,"May 28, 2021",@amri_hotaru,"maksudnya saya jangan asal nuduh syahadat kami punya arti yang beda. “Muhammad” dalam syahadat ahmadiyah ya Muhammad Rasulullah SAW, bukan yang lain .",1,,
ahmadamriMay282021Kok nud,ahmad amri,@amri_hotaru,"May 28, 2021",@MAhmadiyah,"Kok nuduh.
 Ahmadiyah udah difatwakan sesat oleh ulama. Siapa yg nuduh?

Kedua,
Ajaran Ahmadiyah mudah sekali diketahui dr kitab2nya dan bukti2 yg telah dikumpulkan.
Mau verifikasi pun mudah skrg om google bisa beri data.
Apa mau ane kasih bukti?
Jangan kabur tapi abis itu yaaa",1,,
ahmadamriMay282021Muhamma,ahmad amri,@amri_hotaru,"May 28, 2021",@MAhmadiyah,"Muhammad yg mana disitu maksudnya Mirza Ghulam Ahmad itu nabi mnrt paham Ahmadiyah, makanya dinamakan Ahmadiyah.
Gak usah nipu krn ini udah rahasia umum bisa ditemukan apa ajaran mereka, klo gak gtu gak mungkin difatwakan sesat oleh MUI.
Iya apa iya?",1,,
ImanMubarakAhmadMay282021Saat in,Iman Mubarak Ahmad,@imanmubarak_a,"May 28, 2021",,"Saat ini sedang berlangsung Khutbah Jum'at (live) yang disampaikan oleh Hadhrat Mirza Masroor Ahmad atba (Khalifah / Imam Jamaah Muslim Ahmadiyah) di Masjid Mubarak, Islamabad (Tilford, UK).

#KhilafatSpiritual

https://youtu.be/1A3xjXHVs7A",,1,1
