id,name,username,date,reply_to,content,reply,retweet,like
MediaDakwahSep52021Ketua M,Media Dakwah,@mediadakwahnews,"Sep 5, 2021",,Ketua MUI Kalbar Ajak Umat Islam Tetap Santun Hadapi Penyimpangan Ahmadiyah,,,1
AriefCandraFirmawanIG:@ariefcf__Sep52021Ada yg ,Arief Candra Firmawan IG : @ariefcf__,@ariefcf__,"Sep 5, 2021",@FaheemYounus,Ada yg bisa jelasin ke dokternya pake bahasa Inggris? Tentang Ahmadiyah itu apa,1,,
ᑎGEᑎᑎEᘔSep52021Masjid ,ᑎGEᑎᑎEᘔ,@Ngennez,"Sep 5, 2021",,"Masjid Ahmadiyah Dibakar Warga, Aziz Yanuar: Pemda Harusnya Tegas Soal Penyelewengan JAI",,1,1
pengagumkimjongwi..Sep52021Dan seb,pengagum kim jong wi..,@ElFaruq04338685,"Sep 5, 2021",@dusrimulya,Dan sebagian orang NU melindungi aliran Ahmadiyah,,,
Kompas.comSep52021Menag Y,Kompas.com,@kompascom,"Sep 5, 2021",,"Menag Yaqut Cholil Qoumas meminta aparat menegak hukum menindak tegas para perusak tempat ibadah jemaah Ahmadiyah di Kabupaten Sintang, Kalimantan Barat pada Jumat (3/9/2021). | #Nasional",3,5,11
GembongKemaksiatanSep52021Ahmadiy,Gembong Kemaksiatan,@GKemaksiatan,"Sep 5, 2021",@geloraco,Ahmadiyah itu bkn islam,,,
SatekambingTong-TongSep52021Ahmadiy,Sate kambing Tong-Tong,@TongSate,"Sep 5, 2021",@roses_man,Ahmadiyah masih ada ?,,,
GembongKemaksiatanSep52021Ahmadiy,Gembong Kemaksiatan,@GKemaksiatan,"Sep 5, 2021",@geloraco,Ahmadiyah itu kan bukan agama Islam kenapa kok punya masjid yaaa,,,
BurungAbabilSep52021Lembut ,Burung Ababil,@HDaun99,"Sep 5, 2021",@OposisiCerdas,Lembut sama ahmadiyah,,,
AndiKurnuawanSep52021ini sdh,Andi Kurnuawan,@KurnuawanAndi,"Sep 5, 2021",@UsamaAhmadRizal,"ini sdh selesai dan tdk perlu dipermasalahkan ( karena salah faham), masjid yg didirikan ahmadiyah bersifat ekslusif beda dgn masjid yg didirikan ormas Islam sama sekali bukan untuk kelompoknya sendiri....masnya bisa kasih contoh masjid ahmadiyah yg tdk ekslusif ?",2,,
MokonqSep52021Masjid ,Mokonq,@Mokonq,"Sep 5, 2021",,"Masjid Ahmadiyah Dibakar Warga, Aziz Yanuar: Pemda Harusnya Tegas Soal Penyelewengan JAI https://bit.ly/3jMAnmC",,,
indriYahya⚘Sep52021Stategi,indri Yahya⚘,@MrsRachelIn,"Sep 5, 2021",,"Stategi 
Maksudnya saat kejadian para pelaku ga ditangkap & dibiarkan merusak, udah kelar baru dicari gt
Sekarang para  Pelakunya udah ditangkap blom

Perusak Masjid Ahmadiyah Tak Ditangkap, Polisi Klaim Strategi",59,56,203
さようならSep52021halah b,さようなら,@viscokl,"Sep 5, 2021",,halah bacot udeh tau ahmadiyah sesat!,,,
ImanSep52021Jgn cer,Iman,@BoyId22,"Sep 5, 2021",@DiptraD,"Jgn ceramah cuk,tp kasi solusi ...selama Fatwa MUI yg nyatakan Ahmadiyah sesat gak dicabut selama itu pula KADRUN2 itu akan melakukan penganiayaan dan perusakan thd Ahmadiyah... Kalo lu mau nyadarkan KADRUN2 itu, itu jg solusi...",3,1,1
JustNtzSep52021Membaka,JustNtz,@Duajempol20,"Sep 5, 2021",@OposisiCerdas,"Membakar bendera tauhid, tapi membela nabi palsu ahmadiyah.",,,
DaltungNiAmamSep52021... set,DaltungNiAmam,@DaltungNiHoda,"Sep 5, 2021",@DaltungNiHoda,"... setiap org yg mengaku Qur'an sbg petunjuk hidupnya BEREMPATI kpd mereka yg sesat menurut versi dia. Mereka yg sesat itu bukan diusir, ttpi SEHARUSNYA dirangkul dan diayomi yg dgn sabar dan perlahan didakwahi agar sesuai dgn keinginan para calon ahli surga ini.

Ahmadiyah ...",1,,
DedenSujanaSep52021Opini R,Deden Sujana,@dedensujana,"Sep 5, 2021",,"Opini Rudi S Kamri. Jelas. Anggota Ahmadiyah juga anak bangsa. 
@KandaliLubis",,1,1
GuruAgamaGarisLucuSep52021Lha won,Guru Agama Garis Lucu,@SangGuru2471,"Sep 5, 2021",@HarrisRegar,"Lha wong 1 RT saja ada masjid NU masjid MU, kenapa ahmadiyah gak boleh. 
Islam itu alirannya kayak semut, ada gula, merah, hitam, rangrang dan semut² ganas yg doyan memangsa semut lain.
Bersyukur saja masih bnyk kafir yg jd konsen. Suatu saat kafir menipis, akan saling memangsa",1,1,
the_mandorsSep52021Ahmadiy,the_mandors,@onseven_saif,"Sep 5, 2021",@muannas_alaidid,Ahmadiyah ,,,
IDNTimesJatengSep52021MUI Did,IDN Times Jateng,@IDNTimesJateng,"Sep 5, 2021",,MUI Didesak cabut fatwa sesat terhadap Ahmadiyah,,2,1
JusticeMilitiaSep52021Teman d,JusticeMilitia,@HarrisRegar,"Sep 5, 2021",,"Teman dekat saya, ibunya, keluar ibunya Ahmadiyah. Masak saya gak tahu. Gak perlu kita berdebat. ",,,
