id,name,username,date,reply_to,content,reply,retweet,like
billtemporoSep92021GAFATAR,bill temporo,@BillTemporo,"Sep 9, 2021",,GAFATAR=Gerakan Fajar Nusantara=AHMADIYAH=KAFIR,,,
Sep92021Secara ,,@BraderBamz,"Sep 9, 2021",,Secara tegas ulama mesti mencerahkan umat ttg kesesatan Ahmadiyah dan menyerahkan penyelesaian kekerasan di masyarakat kepada mekanisme hukum yg berlaku.,1,,
KOMPASTVSep92021Perusak,KOMPAS TV,@KompasTV,"Sep 9, 2021",,"Perusak Masjid Ahmadiyah Anak-Anak, Dosen Agama Islam UI: Islam Melarang Ajarkan Anak Kekerasan http://dlvr.it/S7F22V",,1,3
HeruSaputroSep92021Kalo im,Heru Saputro,@the_hero77,"Sep 9, 2021",@sastro0001,"Kalo imanmu kuat, harusnya tdk akan goyah hanya krn adanya ahmadiyah. Kalo mereka kita anggap sesat, ya jgn ikuti, bkn hak kita utk memaksa keyakinan org lain..gitu aja kok repot. Rosulullah tdk pernah mengajarkan kita utk memusuhi mereka yg beda keyakinan dgn kita kan?",3,,1
rsaupwrSep92021Kemenag,rsaupwr,@rsaupwr,"Sep 9, 2021",,"Kemenag Sosialisasi SKB 3 Menteri tentang Ahmadiyah, Agar Tak Ada Penyerangan",,,
VOI.idSep92021Perinta,VOI.id,@voidotid,"Sep 9, 2021",,"Perintah Kapolda Kalbar, kata Denny, jelas dan tegas. Tidak boleh ada satu nyawa dari jemaah Ahmadiyah yang melayang gara-gara peristiwa ini. https://voi.id/berita/83683/keras-denny-siregar-tuding-eks-kader-fpi-provokator-bakar-amarah-warga-sintang-di-kasus-masjid-ahmadiyah…",,,
NinoBrodinSep92021Ahmadiy,Nino Brodin,@Orgetorix,"Sep 9, 2021",,"Ahmadiyah mosque incident leads to calls to protect freedom of worship https://thejakartapost.com/news/2021/09/08/ahmadiyah-mosque-incident-leads-to-calls-to-protect-freedom-of-worship.html… via 
@jakpost",,,1
VOAIndonesiaSep92021Nahdlat,VOA Indonesia,@voaindonesia,"Sep 9, 2021",,"Nahdlatul Ulama (NU) dan Muhammadiyah, menilai para tokoh perlu mengevaluasi peran masyarakat sipil dalam menyuarakan keadaban di ruang publik menyusul perusakan masjid Ahmadiyah di Kabupaten Sintang, Kalimantan Barat.",,1,2
AzisHalizSep92021Maaf ba,Azis Haliz,@AzisHaliz,"Sep 9, 2021",@axlentdesign,"Maaf bang ... ahmadiyah itu bukan  salah satu dari aliran ddlm islam , mereka sdh menyimpang dari akidah sebenarnya . Semua aliran ahlussunnah wal jamaah menyatakan begitu trmasuk NU dan MD , 
Adapun perlakuan yg telah menyakiti mereka .. saya juga sangat2 tdk setuju bang .",1,,
MelayaniSep92021Ahmadiy,Mel ayani,@AyaniMel,"Sep 9, 2021",,"Ahmadiyah halal darahnya. 
Garis keras",,,1
VOAIndonesiaSep92021VOA Thi,VOA Indonesia,@voaindonesia,"Sep 9, 2021",,"VOA This Evening 9 September 2021
RI, Australia setuju tingkatkan hubungan pertahanan dan keamanan; NU dan Muhammadiyah soroti peran masyarakat sipil dalam perusakan masjid Ahmadiyah. Daerah terus kaji praktik pembelajaran tatap muka.",,,2
TarkanySep92021Kita si,Tarkany,@TarkanyMafala88,"Sep 9, 2021",,Kita sikapi persoalan Ahmadiyah secara bijak dan sesuai hukum,,,
TimofeiSep92021Kita si,Timofei,@TimofeiClancy43,"Sep 9, 2021",,Kita sikapi persoalan Ahmadiyah secara bijak dan sesuai hukum,,,
KBRSep92021Perusak,KBR,@beritaKBR,"Sep 9, 2021",,Perusakan Masjid Ahmadiyah di Sintang Gubernur Kalbar Janji Cari Solusi Permanen,,,
ANAK_PinggirKaliSep92021Jamaah ,ANAK_PinggirKali,@IpungLombok,"Sep 9, 2021",,"Jamaah Ahmadiyah bandel.
Segera deklarasikan diri sebagai agama baru di Indonesia masalah selesai... kan itu yg diminta sejak duluuuuu....",1,1,
BukanJubirSep92021Polisi ,Bukan Jubir,@fajdroel,"Sep 9, 2021",,Polisi Tangkap Diduga Aktor Intelektual Perusakan Masjid Ahmadiyah Sintang,,,
BoejangTelajakSep92021Situasi,Boejang Telajak,@BoejangTelajak,"Sep 9, 2021",,"Situasi Kabupaten Sintang Kondusif, Hendardi: Forkopimda Kalbar Mampu Tangani Ahmadiyah di Sintang.",,,
BoejangTelajakSep92021Kasus A,Boejang Telajak,@BoejangTelajak,"Sep 9, 2021",,"Kasus Ahmadiyah di Sintang, Gubernur Kalbar : Saya Minta Semua Dapat Menahan",,,
MEHONXSep92021Waketum,MEHONX,@sumantriom,"Sep 9, 2021",,Waketum MUI Ungkap Solusi Ahmadiyah Bisa Hidup Berdampingan di Indonesia,,,
SyantiAstiraSep92021Situasi,Syanti Astira,@AstiraSyanti,"Sep 9, 2021",,"Situasi Kabupaten Sintang Kondusif, Hendardi: Forkopimda Kalbar Mampu Tangani Ahmadiyah di Sintang.",,,
radarbangsa.comSep92021Soal Ah,radarbangsa.com,@radarbangsa_com,"Sep 9, 2021",,Soal Ahmadiyah Kemenag Terjunkan Tim Penyuluh Agama Sosialisasikan SKB 3 Menteri,,,
SyantiAstiraSep92021Kasus A,Syanti Astira,@AstiraSyanti,"Sep 9, 2021",,"Kasus Ahmadiyah di Sintang, Gubernur Kalbar : Saya Minta Semua Dapat Menahan Diri.",,,
PhilGurskiSep92021Group c,Phil Gurski,@borealissaves,"Sep 9, 2021",,"Group calling itself Aliansi Umat Islam attacked Ahmadiyah mosque in Indonesia, leading to calls to protect freedom of worship https://thejakartapost.com/news/2021/09/08/ahmadiyah-mosque-incident-leads-to-calls-to-protect-freedom-of-worship.html….",,,2
GesuriSep92021DPD GMN,Gesuri,@GesuriID,"Sep 9, 2021",,"DPD GMNI Kalbar menanggapi kunjungan Gubernur Kalbar Sutarmidji ke Polda Kalbar, guna menemui dua tokoh yang diduga kuat terlibat dalam perusakan Masjid milik warga Ahmadiyah di Balai Harapan, Kabupaten Sintang.

https://gesuri.id/pemerintahan/soal-kasus-sintang-gmni-tolak-intervensi-oleh-gubernur-b2c9xZ2Ca… #pdiperjuangan",,,
MKAIMANISLOR3Sep92021Selamat,MKAI MANISLOR 3,@Mkai_Manislor3,"Sep 9, 2021",,"Selamat Hari Olahraga Nasional 9 September 2021. Apapun jenisnya, jangan lupa untuk terus Berolahraga agar tubuh selalu sehat terjaga teman-teman 

#pemuda 
#HariOlahragaNasional 
#Ahmadiyah",1,4,7
ANTARASULSEL.ComSep92021Kemenag,ANTARASULSEL.Com,@antaramakassar,"Sep 9, 2021",,Kemenag kerahkan penyuluh agama sosialisasikan SKB Tiga Menteri terkait Ahmadiyah,,,
MuridIslamAhmadiyahSep92021nih taf,MuridIslamAhmadiyah,@MAhmadiyah,"Sep 9, 2021",@MAhmadiyah,"nih tafsir Khtamana Nabiyyin nya sekte Deobandi, sama dengan Ahmadiyah",,,
MuridIslamAhmadiyahSep92021lol yak,MuridIslamAhmadiyah,@MAhmadiyah,"Sep 9, 2021",@Momonsimomon,lol yakin kalangan ahmadiyah sendiri?,1,,
SuheriadiSep92021Betul .,Suheri adi,@Momonsimomon,"Sep 9, 2021",@Diordanxe,"Betul ... apapun itu saya dapat ilmu bagaimana Ahmadiyah menerapkan ajaran Mahatma Gandhi dalam menegakkan khilafah. Mereka tidak menentang pemerintah bahkan kolonial sekalipun, namun kepemimpinan (agama) hanya 1 sedunia",1,,1
SattarHafidzSep92021Jika me,Sattar Hafidz,@Sattar117,"Sep 9, 2021",@republikaonline,Jika mereka salah dalam ber agama maka pemerintah harus bekerjasama dg pemuka agama misalnya NU untuk mendidik mereka & membina mereka. bukan hanya Ahmadiyah masih banyak lagi aliran2 yg sudah masuk ke sekolah2 dan institusi pemerintah,1,,
WahyuDjanti88TonggoneSherina-noDMSep92021Ahmadiy,Wahyu Djanti88 Tonggone Sherina-no DM,@wahyu_djanti88,"Sep 9, 2021",@republikaonline,Ahmadiyah bukan Islam,,,2
SuheriadiSep92021Wallahu,Suheri adi,@Momonsimomon,"Sep 9, 2021",@MamiBekas_87,Wallahu a'lam. Lha wong sesama Ahmadiyah beda tafsir khatamul anbiya sehingga ada GAI dan JAI. Bisa jadi bentrok sesama mereka. Kita ngertinya mesjid Ahmadiyah dirusak tanpa diketahui penyebabnya  selain dikaitkan dgn fatwa MUI.,2,,
WowKerenSep92021Buntut ,WowKeren,@wow_keren,"Sep 9, 2021",,"Buntut Kasus Perusakan Masjid Ahmadiyah Sintang, Anak Di Bawah Umur Jadi Tersangka #Nasional #DonnyCharles #RemigiusSigidTriHardjanto https://wowkeren.com/berita/tampil/00384115.html…",,,
