id,name,username,date,reply_to,content,reply,retweet,like
MASTOTOPINGOct312021NU sptn,MASTOTOPING,@mastotoping,"Oct 31, 2021",@Minang_cyber,"NU sptnya bkn lagi ormas ke islaman murni. Bnyk yg aneh2. Syiah jg sptnya bnyk dsana. Jgn2 jg ahmadiyah dll.
NU sdh menjadi mesin politik, d jual kpd siapa yg mau dg imbalan jabatan. Menteri, komisaris, direktur dll.
Jd NU sdh spt partai politik yg tdk resmi.",6,,2
UniemaraOct312021Ahmadiy,Uniemara,@uniemara,"Oct 31, 2021",@NovalAssegaf,Ahmadiyah juga merajalela...,,,1
billtemporoOct312021GAFATAR,bill temporo,@BillTemporo,"Oct 31, 2021",,GAFATAR=Gerakan Fajar Nusantara=AHMADIYAH=KAFIR,,,
DedenSujanaOct312021Mangkan,Deden Sujana,@dedensujana,"Oct 31, 2021",,Mangkanya jangan usil sama Jemaah Ahmadiyah,,,1
MisykatLiteraOct312021Jual : ,Misykat Litera,@millenialtwit,"Oct 31, 2021",,"Jual : ""Narasi Identitas Jemaah Ahmadiyah Indonesia: 1 Dekade Rumpun Terasing"" Rp35.000 di toko Misykat Online Tokopedia. Ada cashback. 
https://tokopedia.link/qkhK5pDvNkb",,1,1
IslamRahmahOct312021Dan sel,Islam Rahmah,@islamrahmahID,"Oct 31, 2021",,Dan selanjutnya tunduk pada pimpinan tingkat internasional yakni Khalifah Ahmadiyah yang memimpin dengan ketaatan yang tinggi berpedoman pada Al-Qur’an dan petunjuk Allah Ta’ala.,1,,
IslamRahmahOct312021Dalam l,Islam Rahmah,@islamrahmahID,"Oct 31, 2021",,"Dalam lingkup yang lebih luas, contoh nyata adalah Jemaat Ahmadiyah yang telah menerapkan struktur kepemimpinan yang adil dan terorganisir sangat rapi. Anggota di tiap negara memiliki struktur kepengurusan berjenjang dari tingkat daerah hingga nasional.",1,,
DedenSujanaOct312021Ahmadi ,Deden Sujana,@dedensujana,"Oct 31, 2021",,"Ahmadi Talk
Nabi Muhammad (shallallahu alaihi wasallam) dlm Pandangan Pendiri Ahmadiyah

Mungkin sebagian permirsa belum tahu bagaimana kedudukan Nabi Muhammad SAW di mata para pengikutnya
Dlm video ini Mln. Lutfi Julian Putra menjelaskan 
@Iskandargumay1",,,1
iLbaOct302021Ada jug,iLba,@ilbasugih,"Oct 30, 2021",,"Ada juga ramalan di dalamnya ketika Islam akan memerintah dunia, tidak akan ada satu pemerintahan global, melainkan berbagai pemerintahan

Dengan demikian, ketika Ahmadiyah berjaya di dunia dengan rahmat Allah Ta'ala",1,,
iLbaOct302021Bagaima,iLba,@ilbasugih,"Oct 30, 2021",,"Bagaimana struktur politik dunia dalam kasus kemenangan Ahmadiyah?

“Dalam Surah al-Hujurat, Allah Ta'ala berfirman tentang dua pemerintahan orang"" beriman yg saling berperang, sedangkan sisanya diperintahkan untuk berdamai di antara mereka....",1,,
moanbyirishOct302021Lebih b,moan by irish,@antitoksinn,"Oct 30, 2021",@umaarrrrrrrrrr,"Lebih baik jangan saling hina, males/santuy aja semua, mau Israel, yahudi, ahmadiyah, Islam, penyembah asbak, animesme, dinamisme. 
Demi terciptanya kerukunan di seluruh dunia",,,
#TTDewiDarmawatiOct302021SKB2Men,#TT Dewi Darmawati,@dewi_darmawati,"Oct 30, 2021",,"SKB2Menteri kl yg dimaksud terkait pembangunan rumah ibadah 

SKB3Menteri yg terkait Kemenag kl ga salah ada 2, yg 1 ttg Ahmadiyah, satu lagi ttg pakaian seragam sekolah (sdh digugurkan MA) ",,,2
IamRamadhanOct302021Ahmadiy,I am Ramadhan,@kadalijo666,"Oct 30, 2021",,Ahmadiyah juga ngakuinnya Ghulam Mirza Ahmad bener kok.,1,,
MuridIslamAhmadiyahOct302021Anda yg,MuridIslamAhmadiyah,@MAhmadiyah,"Oct 30, 2021",@zhoeragan,"Anda yg harus cek mana fakta sejarah mana hoax. Ahmadiyah buatan inggris itu hoax om, ga akan bisa anda temukan sumber kredibel yang membuktikannya",,,
AgusHeryanaOct302021NU didi,Agus Heryana,@zhoeragan,"Oct 30, 2021",,"NU didirikan pemerintah Belanda oom, kalau Inggris mendirikan Ahmadiyah, bedanya disini untuk Devide ET Impera kalau di India sebagai boneka., Silahkan cek sejarah.",1,,
DedenSujanaOct302021Mudah2a,Deden Sujana,@dedensujana,"Oct 30, 2021",,Mudah2an banjir dasyat di Sintang bukan gara2 menyuruh membongkar Mesjid Ahmadiyah sebagai rumah Allah SWT,,2,1
MuridIslamAhmadiyahOct302021skb 3 m,MuridIslamAhmadiyah,@MAhmadiyah,"Oct 30, 2021",@EPiesant,skb 3 mentri tidak melarang ahmadiyah untuk beribadah atau mendirikan mesjid,,,
billtemporoOct302021GAFATAR,bill temporo,@BillTemporo,"Oct 30, 2021",,GAFATAR=Gerakan Fajar Nusantara=AHMADIYAH=KAFIR,,,
BobbyPahleviOct302021Ahmadiy,Bobby Pahlevi,@BobbyPahlevi,"Oct 30, 2021",@faizalbs,Ahmadiyah sama syiah aman,,,
riskyOct302021Baru de,risky,@recyru,"Oct 30, 2021",@tvOneNews,Baru denger masjid ahmadiyah gelar jumatan.,,,
DedenSujanaOct302021Kalau s,Deden Sujana,@dedensujana,"Oct 30, 2021",,"Kalau sy liat protap seperti itu aneh, hrsnya Intel cukup memantau kegiatan tsb membahayakan negara atau tidak ,dan pelarangan idealnya langsung dari anggota berseragam dan Surat resmi jd jelas alasanya ,cerita ini khusus utk kasus2 Jemaah Ahmadiyah",,,
DedenSujanaOct302021Apalagi,Deden Sujana,@dedensujana,"Oct 30, 2021",,"Apalagi ketika sy sedang di Mesjid Jemaah Ahmadiyah, duduk2 sebelum acara dimulai datanglah beberapa org tdk berseragam mengaku Intel tanpa menunjukan KTA menanyakan beberapa hal tentang kegiatan di Mesjid tsb biasanya berlanjut dgn ultimatum2.bla.bla 
@DivHumas_Polri
 @Puspen_TNI",,,1
KucinggeringOct302021Mengapa,Kucing gering,@Kucinggering14,"Oct 30, 2021",@NovalAssegaf,"Mengapa syiah, ahmadiyah dan beberpa aliran yg menyimpang seolah2 dibiarkan negara bib?bahkan terkesan ""difasilitasi""... ",3,,9
