id,name,username,date,reply_to,content,reply,retweet,like
VeroChan11Dec12021Pengkhi,Vero Chan11,@Chan11Vero,"Dec 1, 2021",,"Pengkhianat dari kyai yg menciptakan Islam Nusantara & Ahmadiyah.. 

Silakan tonton!! 
Semoga Allah SWT selalu menjaga kita semua dari pengkhianat yg mengadu domba aamiin ",3,27,60
#PergulatanPatriotVs.PengkhianatDec12021Komplot,#Pergulatan Patriot Vs.Pengkhianat,@Resof85,"Dec 1, 2021",@geloraco,"Komplotan SAS tuh yg ancam.. krn dimasa SAS kaum Tusbol LGBT, Syi'ah, Liberal, Atheist bahkan Aliran sesat Ahmadiyah ada dlm PBNU ditambah lagi NU cabang Kristen, Cabang Budha dll.",,,2
ختمنبوتپاکستانDec12021#mta #a,ختم نبوت پاکستان,@spreadislam91,"Dec 1, 2021",,"#mta #ahmadiyah #ahmadi #qadaine #marzai 

سلیم الدین امور عامہ پاکستان کے کارنامے دیکھ لو ہر قادیانی کی یہی کام ہوتا ہے",1,,
billtemporoNov302021GAFATAR,bill temporo,@BillTemporo,"Nov 30, 2021",,GAFATAR=Gerakan Fajar Nusantara=AHMADIYAH=KAFIR,,,
MuridIslamAhmadiyahNov302021lol ga ,MuridIslamAhmadiyah,@MAhmadiyah,"Nov 30, 2021",@Chan11Vero,"lol ga akan bisa, dari dulu ulama yang mendoakan semoga pendiri Ahmadiyah dikutuk itu malah dibinasakan sama Allah.. ",,,
AhmadJaliduNov302021KONTROV,Ahmad Jalidu,@AhmadJalidu,"Nov 30, 2021",,"KONTROVERSI AHMADIYAH : Fakta, Sejarah, Gerakan dan Aqidah Jemaat Ahmadiyah Indonesia -",,,
VeroChan11Nov302021Tak ada,Vero Chan11,@Chan11Vero,"Nov 30, 2021",,"Tak ada kata mengalah untuk kesesatan & kebathilan 
Mudah”an pemimpin Ahmadiyah itu bisa tersingkirkan aamiin 

#AllahuAkbar",1,,
orizaesativaNov302021Islampo,orizae sativa,@SaheerKahn,"Nov 30, 2021",@__Sridiana_3va,"Islampobia,syiah,ahmadiyah sudah masuk ............ jadi nda boleh",,,1
"`Nov302021Punyaa,",`,@linolilo,"Nov 30, 2021",@lockeyfeyi,"Punyaa, tapi hak-hak politisnya dicabut/tereksklusi dari hukum, dan rentan thdp kekerasan. Misal keluarga eks pki, ahmadiyah atau muslim rohingya.",1,,
KaryawanTuhanNov302021HTI Sal,Karyawan Tuhan,@KaryawanTuhan77,"Nov 30, 2021",,"HTI Salahnya apa, Kagak pernah memberontak.
FPI juga tdk pernah Korupsi, tp di bubarkan juga.
Lha ini ada Ormas yg jelas-jelas SESAT, Punya NABI baru (AHMADIYAH), MALAH DI LINDUNGI.

#OtakManaOtak
#AyoMikirWaras
#KoruptorSampahBangsa",1,,
AgamaKepercayaanAdatNusantara(GBMYLKSKVXYWQ)Nov302021meliput,Agama Kepercayaan Adat Nusantara (GBMYLKSKVXYWQ),,"Nov 30, 2021",,"meliputi: Pemuda Ahmadiyah Nasional, ANBTI Yogyakarta, Elsa Semarang, Yayasan Satu Keadilan, LBH Bandung, SEJUK, serta individu berikut jaringan komunitas keagamaan dan kepercayaan. Menyertai di dalamnya terdapat Sekertariat Nasional SobatKBB Indonesia

Selama satu hari penuh,",1,3,4
BuchinoRNov302021Pengiku,BuchinoR,@BuchroniK,"Nov 30, 2021",@veaadeeana,Pengikut aliran sesat Ahmadiyah.,,,
FaisalAdnanNov292021Kalau b,Faisal Adnan,@pesaladnan,"Nov 29, 2021",,"Kalau bicara jujur ttg aliran ""sesat"" Islam di Indonesia (syiah, ahmadiyah, dsb), mereka seringkali dipersekusi dan dimarjinalkan. Tentu perilaku ini, baik dari sudut pandang Islami maupun sekuler-liberal, adalah kesalahan.",1,,
diponegrosIngat#TheKillingFieldKM50Nov292021Warga J,dipo negros Ingat #TheKillingFieldKM50,@diponegros,"Nov 29, 2021",,"Warga Jakarta bukan ...
Muslim juga bukan, agama loe khan ahmadiyah ...
Lalu urusan loe apa Romlah 
@GunRomli
 ?!",1,1,5
diponegrosIngat#TheKillingFieldKM50Nov292021Warga J,dipo negros Ingat #TheKillingFieldKM50,@diponegros,"Nov 29, 2021",@democrazymedia,"Warga Jakarta bukan ...
Muslim juga bukan, agama loe khan ahmadiyah ...
Lalu urusan loe apa Romlah 
@GunRomli
 ?!",1,,4
"RumailAbbasNov292021Betul.
",Rumail Abbas,@Stakof,"Nov 29, 2021",,"Betul.

Seperti sikap fans-FPI terkait orasi & ajakan membunuh Ahmadiyah, sampai sekarang belum dinormalisasi FPI sendiri, dan tidak ada yang membantah.

Karena Buya Syakur lebih berbahaya daripada ajakan perang “kalau mereka pakai parang, kita pakai parang”.",1,,3
billtemporoNov292021GAFATAR,bill temporo,@BillTemporo,"Nov 29, 2021",,GAFATAR=Gerakan Fajar Nusantara=AHMADIYAH=KAFIR,,,
JawaPosNov292021Rencana,Jawa Pos,@jawapos,"Nov 29, 2021",,"Rencana Bangun Kuburan Ahmadiyah, Dit Intel Polda Turun ke Buleleng",,,
RumailAbbasNov292021Sukarno,Rumail Abbas,@Stakof,"Nov 29, 2021",,"Sukarno itu simpati dengan banyak fusi Islam ketika menurutnya masuk akal. Salah satunya Ahmadiyah dan Wahabi.

Ketakhayulan yang diyakini orang NU, Sukarno gak suka. Tapi Sukarno suka keris (aneh, gak?).

Sukarno juga gak suka Baalawy/Kiai dicium tangannya faktor keturunan.",5,5,29
YanwidjayaNov292021#Pesant,Yan widjaya,@yan_widjaya,"Nov 29, 2021",,"#Pesantren (LolaAmariaProd/2019) sut Shalahuddin Siregar. Dokumenter Pondok Pesantren Kebon Jambu Al-Islamy, Cirebon, dpp Nyai Hj Masriyah. Sejak 20/11/1993, kini dihuni 1800 santri. Anti mengkafirkan, menerima semua aliran termasuk Ahmadiyah. Rencana tayang di bioskop 2022",,,1
StudioCakWahhabNov292021FPI orm,Studio Cak Wahhab,@studio_wahhab,"Nov 29, 2021",,"FPI ormas yang sangat tegas terhadap aliran sesat bahkan Sobri Lubis memerintahkan untuk membunuh Ahmadiyah. Kontradiktif dengan Syi'ah, FPI membela dan bersaudara dengan Syi'ah (Ukhuwah Islamiyah:Rizieq Shihab)

Kalau bukan Syi'ah lalu apa?
Cecunguk Syi'ah.. ..

#ODGJ",,,1
ridhoNov282021Kalau s,ridho,@ridho45916919,"Nov 28, 2021",@Diordanxe,"Kalau soal akidah tdk ada kompromi, ahmadiyah itu aliran sesat karena mengakui kenabian MGA sbg nabi yg ke 26,sola efek atas aliran tsb jgn disalahkan reaksinya tapi sumbernya atau asalnya & itu yg harus dibina agar tdk menyesatkan umat & juga jgn pakai kekerasan.",,,
